SP|धृतराष्ट्र ने कहा:
39|तथापि हम लोग, जो कुल-क्षय का दोष देखते हैं, इस पाप से निवृत्त होना जानते हैं — हे जनार्दन!
40|कुल के नष्ट होने पर सनातन कुलधर्म नष्ट हो जाते हैं, और धर्म नष्ट होने पर पूरा कुल अधर्म से आच्छादित हो जाता है।
41|हे कृष्ण! अधर्म बढ़ने से कुल की स्त्रियाँ भ्रष्ट होती हैं और स्त्रियों के भ्रष्ट होने पर वर्णसंकर उत्पन्न होता है।
42|वर्णसंकर कुलघातियों और कुल को नरक ले जाता है; पिण्ड-जल क्रिया से वंचित होकर उनके पितर भी गिर जाते हैं।
43|कुलघातियों के इन दोषों से जातिधर्म और शाश्वत कुलधर्म नष्ट हो जाते हैं।
44|हे जनार्दन! जिन मनुष्यों के कुलधर्म नष्ट हो जाते हैं, उनका नरक में नियत वास होता है — ऐसा हमने सुना है।
45|अरे! राज्य-सुख के लोभ से स्वजनों को मारने का हमने कितना बड़ा पाप करने का निश्चय किया है!
46|यदि मुझे अप्रतिकारी, शस्त्र त्यागे हुए देखकर धृतराष्ट्र के पुत्र रण में मार डालें, तो भी वह मेरे लिए अधिक कल्याणकारी होगा।
SP|संजय ने कहा:
47|यह कहकर शोक से संविग्न मन वाले अर्जुन ने बाण सहित धनुष त्यागकर रथ के पिछले भाग में बैठ गए।
