SP|श्रीभगवान् ने कहा:
14|मेरा निरन्तर कीर्तन करते हुए, यत्न करते हुए, दृढ़ व्रत वाले, भक्तिपूर्वक मुझे नमस्कार करते हुए नित्ययुक्त होकर मेरी उपासना करते हैं।
15|अन्य लोग ज्ञानयज्ञ से यजन करते हुए मेरी उपासना करते हैं — एकत्व से, पृथक्त्व से और बहुधा विश्वतोमुख रूप से।
16|मैं क्रतु, यज्ञ, स्वधा, औषध, मन्त्र, आज्य, अग्नि और हुत — सब कुछ हूँ।
17|मैं इस जगत् का पिता, माता, धाता (धारण करने वाला) और पितामह हूँ; वेद्य, पवित्र, ओङ्कार, ऋक्, साम और यजुः — मैं ही हूँ।
18|मैं गति, भर्ता, प्रभु, साक्षी, निवास, शरण, सुहृद्, प्रभव, प्रलय, स्थान, निधान और अव्यय बीज हूँ।
19|हे अर्जुन! मैं तपाता (सूर्य) हूँ, वर्षा को रोकता और छोड़ता हूँ; मैं अमृत और मृत्यु, सत् और असत् — सब हूँ।
20|तीनों वेदों के जानने वाले, सोमपान करने वाले, पापरहित लोग यज्ञों से मुझे पूजकर स्वर्ग की गति चाहते हैं — वे पुण्य पाकर देवेन्द्र के लोक में दिव्य देव-भोग भोगते हैं।
21|वे विशाल स्वर्गलोक को भोगकर पुण्य के क्षीण होने पर मर्त्यलोक में आते हैं — इस प्रकार त्रयीधर्म का अनुसरण करने वाले कामी लोग गति-आगति को प्राप्त होते हैं।
22|जो अनन्य भाव से मेरा चिन्तन करते हुए मेरी उपासना करते हैं, उन नित्याभियुक्त पुरुषों का योगक्षेम मैं स्वयं वहन करता हूँ।
23|हे कौन्तेय! जो अन्य देवताओं के भक्त श्रद्धा सहित उनकी पूजा करते हैं, वे भी अविधिपूर्वक मेरी ही पूजा करते हैं।
24|क्योंकि मैं ही सब यज्ञों का भोक्ता और प्रभु हूँ — पर वे मुझे तत्त्व से नहीं जानते, इसलिए वे (फल से) च्युत होते हैं।
25|देवव्रती देवों को, पितृव्रती पितरों को, भूतेजी भूतों को जाते हैं, और मेरे पूजक मुझे ही आते हैं।
26|जो मुझे भक्तिपूर्वक पत्र, पुष्प, फल या जल अर्पण करता है, उस प्रयतात्मा का भक्तिपूर्वक अर्पण किया हुआ वह मैं ग्रहण करता हूँ।
27|हे कौन्तेय! तू जो कुछ करता है, जो खाता है, जो हवन करता है, जो दान देता है और जो तप करता है — उसे मुझे अर्पण कर।
28|इस प्रकार तू शुभाशुभ फलरूपी कर्म-बन्धनों से मुक्त होगा; संन्यासयोग से युक्तात्मा होकर विमुक्त हो मेरे पास आएगा।
29|मैं सब भूतों में सम हूँ — न मुझे कोई द्वेष्य है, न प्रिय; किन्तु जो भक्तिपूर्वक मेरी भक्ति करते हैं, वे मुझमें हैं और मैं उनमें हूँ।
30|यदि अत्यन्त दुराचारी भी अनन्य भाव से मेरी भक्ति करता है, तो वह साधु ही माना जाना चाहिए — क्योंकि उसने सम्यक् निश्चय किया है।
31|वह शीघ्र धर्मात्मा हो जाता है और शाश्वत शान्ति को प्राप्त होता है — हे कौन्तेय! तू निश्चय जान ले, मेरा भक्त नष्ट नहीं होता।
32|हे पार्थ! मेरा आश्रय लेकर पापयोनि (जन्मे) लोग भी — स्त्रियाँ, वैश्य और शूद्र भी — परम गति को प्राप्त होते हैं।
33|फिर पुण्यात्मा ब्राह्मण और भक्त राजर्षियों की तो बात ही क्या! इस अनित्य, असुख लोक को प्राप्त करके मेरी भक्ति कर।
34|मुझमें मन लगा, मेरा भक्त बन, मेरी पूजा कर, मुझे नमस्कार कर — इस प्रकार आत्मा को मुझमें युक्त करके, मत्परायण होकर तू मुझे ही प्राप्त होगा।
